id,date,amount,card,id_merchant
222,01-01-2018 21:35,6.22,3.56195E+15,69
2045,01-01-2018 21:43,3.83,5.13584E+15,85
395,01-01-2018 22:41,9.61,2.13194E+14,82
3309,01-01-2018 23:13,19.03,4.26369E+15,5
567,01-01-2018 23:15,2.95,4.498E+12,64
1683,02-01-2018 01:13,11.24,4.26369E+15,127
2083,02-01-2018 02:06,1.46,4.31965E+12,93
3488,02-01-2018 04:36,3.36,4.50641E+15,136
2635,02-01-2018 05:45,16.69,5.29719E+15,120
432,02-01-2018 10:13,8.55,5.17595E+15,70
2918,02-01-2018 11:28,15.85,1.80099E+14,16
2020,02-01-2018 13:17,2.64,5.0188E+11,84
1084,02-01-2018 15:10,10.52,6.50024E+15,39
3490,02-01-2018 16:14,3.12,3.51711E+15,21
1179,02-01-2018 19:40,10.44,4.74104E+12,55
99,02-01-2018 23:27,1031,5.0188E+11,95
191,03-01-2018 05:13,2.76,3.53565E+15,149
2387,03-01-2018 08:44,3.89,4.02791E+15,74
2512,03-01-2018 10:18,14.57,4.26849E+15,106
793,03-01-2018 10:34,2.63,3.0182E+13,35
533,03-01-2018 15:23,1.39,4.96292E+18,100
1077,03-01-2018 18:16,10.27,5.01809E+11,84
2120,03-01-2018 21:04,1.91,3.56107E+15,108
1302,04-01-2018 00:29,12.45,3.56195E+15,39
2022,04-01-2018 01:28,2.81,4.64401E+18,89
2806,04-01-2018 01:35,20.33,3.51695E+15,112
2922,04-01-2018 03:00,17.59,5.01809E+11,100
2650,04-01-2018 03:05,1685,3.51695E+15,80
1510,04-01-2018 06:34,10.22,4.18816E+15,80
139,04-01-2018 11:15,5.72,3.53565E+15,99
1331,04-01-2018 13:41,12.7,5.13584E+15,122
530,04-01-2018 14:38,2.84,3.53565E+15,73
2859,04-01-2018 17:19,15.48,5.17595E+15,72
2694,04-01-2018 19:24,14.31,4.58696E+18,134
2127,05-01-2018 00:49,2.32,4.18816E+15,136
1995,05-01-2018 01:10,5.09,5.01809E+11,46
1346,05-01-2018 03:11,12.2,4.26849E+15,69
2176,05-01-2018 05:47,4.64,5.17595E+15,103
1552,05-01-2018 06:26,10.74,3.72415E+14,86
487,05-01-2018 06:27,4.6,4.15984E+18,48
2077,05-01-2018 07:19,1.36,3.4412E+14,30
